Sl.No.,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
381,GP,M,19,U,GT3,T,3,2,services,at_home,mother,1,1,3,no,yes,no,no,no,yes,yes,4,5,4,1,1,4,0,5,0,0
382,GP,F,19,U,GT3,T,1,1,at_home,health,other,1,3,2,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,14,15,13,13
383,GP,F,19,U,LE3,T,3,2,services,other,other,2,2,1,no,yes,yes,no,yes,yes,yes,4,2,2,1,2,1,22,13,10,11
384,GP,F,19,U,GT3,T,2,1,at_home,other,other,3,2,0,no,yes,no,no,no,yes,yes,3,4,1,1,1,2,20,14,12,13
385,GP,F,19,U,LE3,T,1,1,at_home,other,other,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,3,18,12,10,10
386,GP,F,19,U,LE3,T,1,2,services,services,other,1,2,1,no,no,no,yes,yes,no,yes,4,2,4,2,2,3,0,9,9,0
387,GP,F,19,R,GT3,T,2,3,other,other,other,1,3,1,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,40,13,11,11
388,MS,M,19,R,GT3,T,1,1,other,services,mother,2,1,1,no,no,no,no,yes,no,no,4,3,2,1,3,5,0,6,5,0
389,GP,F,19,U,GT3,T,0,1,at_home,other,other,1,2,3,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9
390,GP,M,19,U,GT3,T,1,2,other,services,other,1,2,1,no,no,no,no,yes,yes,no,4,5,2,2,2,4,3,13,11,11
391,MS,F,20,U,GT3,T,4,2,health,other,other,2,3,2,no,yes,yes,no,yes,yes,yes,5,4,3,1,1,3,4,15,14,15
392,GP,M,20,U,GT3,A,3,2,services,other,other,1,1,0,no,no,no,yes,yes,no,no,5,5,3,1,1,5,0,17,18,18
393,MS,M,20,U,LE3,A,2,2,services,services,other,1,2,2,no,yes,yes,no,yes,no,no,5,5,4,4,5,4,11,9,9,9
394,MS,M,21,R,GT3,T,1,1,other,other,other,1,1,3,no,no,no,no,yes,no,no,5,5,3,3,3,3,3,10,8,7
395,GP,M,22,U,GT3,T,3,1,services,services,mother,1,1,3,no,no,no,no,no,yes,yes,5,4,5,5,5,1,16,6,8,8
